"","Province_State","Date","Confirmed","Deaths","confirmed_changes","death_changes"
"313","Alaska",2020-05-25,0,0,0,0
"314","Alaska",2020-05-26,0,0,0,0
"315","Alaska",2020-05-27,0,0,0,0
"316","Alaska",2020-05-28,0,0,0,0
"317","Alaska",2020-05-29,0,0,0,0
"318","Alaska",2020-05-30,0,0,0,0
"319","Alaska",2020-05-31,0,0,0,0
"320","Alaska",2020-06-01,0,0,0,0
"321","Alaska",2020-06-02,0,0,0,0
"322","Alaska",2020-06-03,0,0,0,0
"323","Alaska",2020-06-04,0,0,0,0
"324","Alaska",2020-06-05,0,0,0,0
"325","Alaska",2020-06-06,0,0,0,0
"326","Alaska",2020-06-07,0,0,0,0
"327","Alaska",2020-06-08,0,0,0,0
"328","Alaska",2020-06-09,0,0,0,0
"329","Alaska",2020-06-10,0,0,0,0
"330","Alaska",2020-06-11,0,0,0,0
"331","Alaska",2020-06-12,0,0,0,0
"332","Alaska",2020-06-13,0,0,0,0
"333","Alaska",2020-06-14,0,0,0,0
"334","Alaska",2020-06-15,0,0,0,0
"335","Alaska",2020-06-16,0,0,0,0
"336","Alaska",2020-06-17,0,0,0,0
"337","Alaska",2020-06-18,0,0,0,0
"338","Alaska",2020-06-19,0,0,0,0
"339","Alaska",2020-06-20,0,0,0,0
"340","Alaska",2020-06-21,0,0,0,0
"341","Alaska",2020-06-22,0,0,0,0
"342","Alaska",2020-06-23,0,0,0,0
"343","Alaska",2020-06-24,0,0,0,0
"344","Alaska",2020-06-25,0,0,0,0
"345","Alaska",2020-06-26,0,0,0,0
"346","Alaska",2020-06-27,0,0,0,0
"347","Alaska",2020-06-28,0,0,0,0
"348","Alaska",2020-06-29,0,0,0,0
"349","Alaska",2020-06-30,0,0,0,0
"350","Alaska",2020-07-01,0,0,0,0
"351","Alaska",2020-07-02,0,0,0,0
"352","Alaska",2020-07-03,0,0,0,0
"353","Alaska",2020-07-04,0,0,0,0
"354","Alaska",2020-07-05,0,0,0,0
"355","Alaska",2020-07-06,0,0,0,0
"356","Alaska",2020-07-07,0,0,0,0
"357","Alaska",2020-07-08,0,0,0,0
"358","Alaska",2020-07-09,0,0,0,0
"359","Alaska",2020-07-10,0,0,0,0
"360","Alaska",2020-07-11,0,0,0,0
"361","Alaska",2020-07-12,0,0,0,0
"362","Alaska",2020-07-13,0,0,0,0
"363","Alaska",2020-07-14,0,0,0,0
"364","Alaska",2020-07-15,0,0,0,0
"365","Alaska",2020-07-16,0,0,0,0
"366","Alaska",2020-07-17,0,0,0,0
"367","Alaska",2020-07-18,0,0,0,0
"368","Alaska",2020-07-19,0,0,0,0
"369","Alaska",2020-07-20,0,0,0,0
"370","Alaska",2020-07-21,1,0,1,0
"371","Alaska",2020-07-22,1,0,0,0
"372","Alaska",2020-07-23,1,0,0,0
"373","Alaska",2020-07-24,1,0,0,0
"374","Alaska",2020-07-25,1,0,0,0
"375","Alaska",2020-07-26,1,0,0,0
"376","Alaska",2020-07-27,1,0,0,0
"377","American Samoa",2020-01-22,0,0,0,0
"378","American Samoa",2020-01-23,0,0,0,0
"379","American Samoa",2020-01-24,0,0,0,0
"380","American Samoa",2020-01-25,0,0,0,0
"381","American Samoa",2020-01-26,0,0,0,0
"382","American Samoa",2020-01-27,0,0,0,0
"383","American Samoa",2020-01-28,0,0,0,0
